Name,YearsExperience,Salary
Emillie Hodson,0.5,25431.00
Madelyn Farrell,0.8,31431.00
Varun Field,1.1,39343.00
Shayan Guy,1.3,46205.00
Darius Emery,1.5,37731.00
Ariel Waters,2.0,43525.00
Paisley Person,2.2,39891.00
Clara Dorsey,2.9,56642.00
Karina Sims,3.0,60150.00
Flynn Huff,3.2,54445.00
Thalia Justice,3.2,64445.00
Ocean Gallagher,3.7,57189.00
Angela Dickinson,3.9,63218.00
Herman Woolley,4.0,55794.00
Kasper Corbett,4.2,56794.00
Abdulrahman Bonilla,4.0,56957.00
Claudia Kumar,4.1,57081.00
Saarah Hollis,4.5,61111.00
Tillie Diaz,4.9,67938.00
Zakaria Fitzgerald,5.1,66029.00
Jozef Schwartz,5.3,83088.00
Rayan Lindsey,5.9,81363.00
Fern Oneal,5.9,85363.00
Stephan Rivers,6.0,93940.00
Arianne Curtis,6.8,91738.00
Nial Penn,7.1,98273.00
Marlie Blackwell,7.9,101302.00
Miruna Simmons,8.2,113812.00
Randall Weaver,8.7,109431.00
Gregory Velasquez,8.9,119431.00
Igor Hope,9.0,105582.00
Pippa Gates,9.5,116969.00
Mazie Hernandez,9.6,112635.00
Meg Potts,10.3,122391.00
Baran Lang,10.5,121872.00
